标号,发行人,X1,X2,X3,X4,X5,X6,X7,,,,,,
1,中煤集团山西华昱能源有限公司,7,8,8,7,7,7,10,,,,,,
1,珠海中富实业股份有限公司,10,4,8,5,3,4,10,,,,,,
1,广州造纸股份有限公司,5,4,8,9,4,3,5,,,,,,
1,河南万基铝业股份有限公司,6,6,10,10,10,10,7,,,,,,
1,华盛江泉集团有限公司,9,10,6,6,6,8,10,,,,,,
1,龙口煤电有限公司,3,5,10,10,10,9,8,,,,,,
1,山东省微山湖矿业集团有限公司,1,9,6,6,6,6,8,,,,,,
1,苏泊尔集团有限公司,10,4,6,6,6,6,1,,,,,,
1,信阳市弘昌管道燃气工程有限责任公司,6,8,6,6,6,6,5,,,,,,
1,云南黄金矿业集团股份有限公司,6,8,3,5,4,6,9,,,,,,
1,万正投资集团有限公司,6,6,6,6,8,4,9,,,,,, 
1,江苏飞达控股集团有限公司,7,6,6,6,10,7,10,,,,,,
1,晶科能源有限公司,6,10,6,6,9,5,5,,,,,,
1,山东丰源集团股份有限公司,7,6,8,7,6,7,8,,,,,,
1,山西汽车运输集团有限公司,4,6,6,6,6,2,7,,,,,,
1,永煤集团股份有限公司,1,7,9,9,10,5,10,,,,,,
1,阳城县皇城相府(集团)实业有限公司,6,6,8,6,9,6,9,,,,,,
1,新疆金特钢铁股份有限公司,10,8,10,9,10,10,10,,,,,,
1,湖南有色金属控股集团有限公司,4,10,8,9,7,3,10,,,,,,
1,太原煤炭气化(集团)有限责任公司,9,10,7,4,7,8,10,,,,,,
1,晟通科技集团有限公司,6,7,8,6,10,6,7,,,,,,
1,江苏索普(集团)有限公司,6,10,6,9,6,7,,,,,,,
1,云南祥鹏航空有限责任公司,6,6,9,3,10,8,4,,,,,,
1,太重煤机有限公司,6,5,4,6,5,2,10,,,,,,
1,山东新查庄矿业有限责任公司,6,9,6,6,6,6,10,,,,,,
1,贵州赤天化集团有限责任公司,6,6,6,3,6,5,9,,,,,,
1,英利能源(中国)有限公司,6,6,10,8,9,4,10,,,,,,
1,内蒙古霍林河煤业集团有限责任公司,5,9,10,10,10,7,10,,,,,,
1,翔鹭石化股份有限公司,3,4,10,10,10,6,9,,,,,,
1,安阳钢铁集团有限责任公司,2,8,6,6,7,6,10,,,,,,
1,云南锡业集团(控股)有限责任公司,6,10,8,6,5,4,10,,,,,,
1,云南冶金集团股份有限公司,6,10,6,6,6,1,9,,,,,,
1,中国平煤神马能源化工集团有限责任公司,3,6,8,8,9,6,10,,,,,,
1,包头钢铁(集团)有限责任公司,6,7,6,8,7,3,10,,,,,,
1,保利能源控股有限公司,5,4,6,6,3,10,10,,,,,,
1,河南能源化工集团有限公司,3,6,5,3,7,3,10,,,,,,
1,湖南湘投金天科技集团有限责任公司,6,6,6,6,6,6,10,,,,,,
1,淮北矿业(集团)有限责任公司,6,8,5,4,7,5,10,,,,,,
1,江苏华东有色投资控股有限公司,6,6,6,6,6,6,9,,,,,,
1,江苏省建筑工程集团有限公司,10,9,6,6,6,6,10,,,,,,
1,江苏中能硅业科技发展有限公司,6,6,10,9,6,6,5,,,,,,
1,江西省能源集团公司,4,6,3,3,6,4,10,,,,,,
1,金川集团股份有限公司,3,4,5,4,5,6,10,,,,,,
1,精工控股集团有限公司,7,8,7,7,7,2,7,,,,,,
1,酒泉钢铁(集团)有限责任公司,6,7,6,6,6,6,10,,,,,,
1,临沂矿业集团有限责任公司,7,5,10,3,8,6,9,,,,,,
1,内蒙古矿业(集团)有限责任公司,6,8,3,3,8,4,10,,,,,,
1,攀钢集团有限公司,8,6,9,7,9,6,10,,,,,,
1,青岛海湾集团有限公司,7,4,3,3,3,8,7,,,,,,
1,三一重工股份有限公司,3,4,7,8,5,2,9,,,,,,
1,厦门海翼集团有限公司,4,6,4,5,3,2,9,,,,,,
1,山东世纪阳光纸业集团有限公司,9,6,8,6,6,2,7,,,,,,
